,precision,recall,f1-score,support
10,0.5376344086021505,0.6756756756756757,0.5988023952095808,148.0
40,0.8074534161490683,0.8609271523178808,0.8333333333333334,151.0
50,0.8099173553719008,0.9333333333333333,0.8672566371681416,105.0
60,0.9019607843137255,0.9583333333333334,0.9292929292929293,48.0
1140,0.821656050955414,0.80625,0.8138801261829653,160.0
1160,0.9319727891156463,0.958041958041958,0.9448275862068966,143.0
1180,0.782608695652174,0.8181818181818182,0.8,44.0
1280,0.5722543352601156,0.6226415094339622,0.5963855421686747,159.0
1281,0.7878787878787878,0.5693430656934306,0.6610169491525424,137.0
1300,0.8729281767955801,0.9693251533742331,0.9186046511627907,163.0
1301,0.9019607843137255,0.9787234042553191,0.9387755102040817,47.0
1302,0.8598726114649682,0.8282208588957055,0.84375,163.0
1320,0.8367346938775511,0.7935483870967742,0.8145695364238411,155.0
1560,0.823076923076923,0.7328767123287672,0.7753623188405797,146.0
1920,0.875,0.910958904109589,0.8926174496644296,146.0
1940,0.9122807017543859,1.0,0.9541284403669725,52.0
2060,0.75177304964539,0.6838709677419355,0.7162162162162162,155.0
2220,0.9272727272727272,0.9807692307692307,0.9532710280373832,52.0
2280,0.8776978417266187,0.8187919463087249,0.8472222222222222,149.0
2403,0.7515151515151515,0.7848101265822784,0.7678018575851393,158.0
2462,0.925,0.8604651162790697,0.891566265060241,86.0
2522,0.9139072847682119,0.9139072847682119,0.9139072847682119,151.0
2582,0.7317073170731707,0.7643312101910829,0.7476635514018691,157.0
2583,0.9370629370629371,0.9370629370629371,0.9370629370629371,143.0
2585,0.8263473053892215,0.8789808917197452,0.8518518518518519,157.0
2705,0.7829457364341085,0.5941176470588235,0.6755852842809364,170.0
2905,1.0,0.8837209302325582,0.9382716049382716,43.0
accuracy,0.8125737898465171,0.8125737898465171,0.8125737898465171,0.8125737898465171
macro avg,0.831867402424802,0.8339707242513472,0.8304823521778905,3388.0
weighted avg,0.8159225528555352,0.8125737898465171,0.8116736570193097,3388.0
