epoch,train_acc,train_f1,eval_arr,eval_f1
1,0.772402116402116,0.77232883644721,0.737037037037037,0.737179383173754
2,0.834835978835979,0.832151860788403,0.770444444444444,0.766858544083917
3,0.856825396825397,0.856092068090319,0.776740740740741,0.775545735512682
4,0.95384126984127,0.953851925888512,0.835950617283951,0.836048095252193
5,0.979026455026455,0.978960349142488,0.841185185185185,0.840494224179904
6,0.986751322751323,0.986725182667182,0.844641975308642,0.844010038872378
